Time,Distance,Alias Vehicle Speed,Math G Force Lat Corr
s,m,km/h,G
12.3,836,205.5,-2.29
12.32,837,205.2,-2.27
12.34,839,205.3,-2.29
12.36,840,205.8,-2.31
12.38,841,206.1,-2.3
12.4,842,206.5,-2.26
12.42,843,206.2,-2.21
12.44,844,206.1,-2.14
12.46,845,205.9,-2.07
12.48,847,206.6,-2.01
12.5,848,206.5,-1.95
12.52,849,207.4,-1.9
12.54,850,207.2,-1.86
12.56,851,207.9,-1.84
12.58,852,208.4,-1.82
12.6,854,208.4,-1.82
12.62,855,208.9,-1.8
12.64,856,208.7,-1.78
12.66,857,208.7,-1.75
12.68,858,208.1,-1.71
12.7,859,208.3,-1.67
12.72,861,208.4,-1.65
12.74,862,209.6,-1.63
12.76,863,209.8,-1.65
12.78,864,211.3,-1.67
12.8,865,211.1,-1.69
12.82,866,210.7,-1.74
12.84,868,210.4,-1.77
12.86,869,210,-1.79
12.88,870,210.2,-1.81
12.9,871,210.5,-1.83
12.92,872,211.4,-1.8
12.94,873,211.3,-1.76
12.96,875,212.2,-1.72
12.98,876,211.9,-1.7
13,877,212.2,-1.7
13.02,878,212.5,-1.72
13.04,879,212.3,-1.74
13.06,881,212.7,-1.76
13.08,882,212.3,-1.78
13.1,883,212.6,-1.76
13.12,884,211.6,-1.73
13.14,885,211.6,-1.66
13.16,886,211.4,-1.57
13.18,888,211,-1.47
13.2,889,210.4,-1.37
13.22,890,209.5,-1.3
13.24,891,208.4,-1.22
13.26,892,207,-1.13
13.28,893,205.5,-1.02
13.3,895,204,-0.91
13.32,896,202.3,-0.82
13.34,897,200.8,-0.77
13.36,898,199.2,-0.75
13.38,899,197.6,-0.73
13.4,900,196,-0.71
13.42,901,194.3,-0.69
13.44,902,192.6,-0.69
13.46,903,190.7,-0.71
13.48,904,188.8,-0.73
13.5,905,187.1,-0.75
13.52,906,185.4,-0.77
13.54,907,183.6,-0.76
13.56,908,182,-0.75
13.58,909,180.4,-0.73
13.6,910,178.8,-0.71
13.62,911,177.2,-0.69
13.64,912,175.7,-0.67
13.66,913,174.1,-0.68
13.68,914,172.5,-0.7
13.7,915,171,-0.72
13.72,916,169.5,-0.72
13.74,917,168,-0.74
13.76,918,166.5,-0.72
13.78,919,165.1,-0.68
13.8,920,163.7,-0.65
13.82,921,162.3,-0.63
13.84,922,161,-0.61
13.86,923,159.8,-0.56
13.88,924,158.5,-0.5
13.9,924,157.2,-0.46
13.92,925,155.8,-0.44
13.94,926,154.5,-0.42
13.96,927,153.1,-0.4
13.98,928,151.9,-0.41
14,929,150.7,-0.39
14.02,930,149.4,-0.37
14.04,930,148.2,-0.35
14.06,931,147,-0.37
14.08,932,145.9,-0.37
14.1,933,144.7,-0.38
14.12,934,143.6,-0.4
14.14,934,142.5,-0.42
14.16,935,141.4,-0.44
14.18,936,140.2,-0.45
14.2,937,139.1,-0.47
14.22,938,137.9,-0.49
14.24,938,136.6,-0.51
14.26,939,135.3,-0.53
14.28,940,134.1,-0.55
14.3,941,133,-0.57
14.32,941,131.7,-0.59
14.34,942,130.5,-0.62
14.36,943,129.3,-0.65
14.38,943,128.1,-0.69
14.4,944,126.7,-0.74
14.42,945,125.5,-0.82
14.44,945,124.3,-0.89
14.46,946,123.4,-0.93
14.48,947,122.4,-0.97
14.5,948,121.4,-1.01
14.52,948,120.4,-1.04
14.54,949,119.3,-1.06
14.56,950,118.2,-1.08
14.58,950,117.1,-1.15
14.6,951,116.1,-1.23
14.62,951,115.3,-1.23
14.64,952,115.3,-1.21
14.66,953,114.4,-1.23
14.68,953,113.6,-1.26
14.7,954,112.7,-1.28
14.72,955,111.9,-1.33
14.74,955,111,-1.4
14.76,956,110.2,-1.44
14.78,956,109.4,-1.44
14.8,957,108.8,-1.42
14.82,958,108.2,-1.42
14.84,958,107.6,-1.44
14.86,959,107,-1.47
14.88,959,106.3,-1.49
14.9,960,105.7,-1.47
14.92,961,105.1,-1.47
14.94,961,104.5,-1.49
14.96,962,103.9,-1.51
14.98,962,103.3,-1.51
15,963,102.7,-1.52
15.02,964,102.1,-1.54
15.04,964,101.4,-1.57
15.06,965,100.8,-1.62
15.08,965,100.1,-1.65
15.1,966,99.5,-1.67
15.12,966,99,-1.69
15.14,967,98.5,-1.67
15.16,967,98,-1.67
15.18,968,97.5,-1.69
15.2,969,97,-1.71
15.22,969,96.5,-1.73
15.24,970,96.1,-1.76
15.26,970,95.7,-1.78
15.28,971,95.2,-1.8
15.3,971,94.8,-1.82
15.32,972,94.4,-1.85
15.34,972,93.9,-1.87
15.36,973,93.5,-1.87
15.38,973,93.1,-1.89
15.4,974,92.7,-1.91
15.42,974,92.3,-1.89
15.44,975,91.9,-1.87
15.46,975,91.5,-1.85
15.48,976,91.1,-1.86
15.5,976,90.6,-1.9
15.52,977,90.2,-1.92
15.54,977,89.8,-1.9
15.56,978,89.4,-1.88
15.58,978,89.1,-1.87
15.6,979,88.7,-1.85
15.62,979,88.4,-1.87
15.64,980,88,-1.88
