# x_m,y_m,w_tr_right_m,w_tr_left_m
172.143863,-203.176343,5.565,5.47
167.148208,-202.954641,5.565,5.472
162.152393,-202.733849,5.566,5.474
157.156412,-202.513997,5.566,5.476
152.160278,-202.29504,5.567,5.479
147.164006,-202.076926,5.567,5.481
142.16761,-201.859602,5.567,5.483
137.171106,-201.643016,5.568,5.485
132.174508,-201.427115,5.568,5.488
127.177832,-201.211845,5.568,5.49
122.181093,-200.997154,5.569,5.492
117.184305,-200.78299,5.569,5.494
112.187484,-200.569299,5.569,5.497
107.190644,-200.356029,5.57,5.499
102.1938,-200.143126,5.57,5.501
97.196969,-199.930539,5.571,5.503
92.200163,-199.718214,5.571,5.506
87.203399,-199.506098,5.571,5.508
82.206691,-199.294139,5.572,5.51
77.210055,-199.082283,5.572,5.513
72.213505,-198.870479,5.572,5.515
67.217056,-198.658672,5.573,5.517
62.220723,-198.446812,5.573,5.519
57.224522,-198.234843,5.574,5.522
52.228467,-198.022715,5.574,5.524
47.232573,-197.810373,5.574,5.526
42.236855,-197.597766,5.575,5.528
37.241328,-197.38484,5.575,5.531
32.246007,-197.171542,5.575,5.533
27.250908,-196.957821,5.576,5.535
22.256044,-196.743622,5.576,5.537
17.261432,-196.528893,5.576,5.54
12.267085,-196.313582,5.577,5.542
7.273019,-196.097635,5.577,5.544
2.27925,-195.881,5.578,5.546
-2.714209,-195.663624,5.578,5.549
-7.707343,-195.445455,5.578,5.551
-12.700194,-195.226508,5.579,5.553
-17.692935,-195.00695,5.579,5.555
-22.685757,-194.786971,5.579,5.558
-27.678849,-194.566757,5.58,5.56
-32.672401,-194.346497,5.58,5.562
-37.666603,-194.126379,5.58,5.564
-42.661644,-193.906589,5.581,5.567
-47.657715,-193.687318,5.581,5.569
-52.655005,-193.468751,5.582,5.571
-57.653704,-193.251078,5.582,5.574
-62.654002,-193.034486,5.582,5.576
-67.656089,-192.819163,5.583,5.578
-72.660154,-192.605296,5.583,5.58
-77.666388,-192.393074,5.583,5.583
-82.67498,-192.182685,5.584,5.585
-87.68612,-191.974317,5.584,5.587
-92.699865,-191.768109,5.584,5.589
-97.7114,-191.562445,5.585,5.592
-102.709752,-191.35349,5.585,5.594
-107.683554,-191.137264,5.586,5.596
-112.621437,-190.909788,5.586,5.598
-117.524144,-190.670879,5.586,5.601
-122.439099,-190.434971,5.587,5.603
-127.424965,-190.220023,5.587,5.605
-132.540408,-190.043991,5.659,5.631
-137.783808,-189.980595,5.982,5.738
-142.922533,-190.317227,6.245,5.89
-147.668629,-191.392451,6.424,6.096
-151.73414,-193.544833,6.832,5.759
-154.863516,-197.06443,7.115,5.58
-157.243402,-201.579369,7.03,5.872
-159.352582,-206.281784,6.946,6.164
-161.317614,-210.908224,6.861,6.456
-163.020486,-215.576781,6.776,6.748
-164.422141,-220.332372,6.858,6.634
-165.542129,-225.163374,6.969,6.449
-166.401195,-230.057016,7.016,6.428
-167.020082,-235.000525,7.033,6.481
-167.419535,-239.98113,7.05,6.534
-167.620296,-244.98606,7.091,6.619
-167.643111,-250.002542,7.181,6.764
-167.508722,-255.017805,7.271,6.91
-167.235345,-260.02007,7.361,7.056
-166.824938,-265.003955,7.319,7.101
-166.273021,-269.966607,7.036,6.962
-165.575098,-274.905178,6.753,6.823
-164.726674,-279.816822,6.625,6.631
-163.723255,-284.698693,6.716,6.364
-162.560343,-289.547944,6.807,6.097
-161.233445,-294.361729,6.837,5.928
-159.738096,-299.136995,6.667,6.081
-158.070763,-303.864607,6.498,6.234
